,Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number,cluster
29,30,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
30,31,38:49.0,172.16.1.66,172.16.1.255,17,110,137,137,,,1
31,32,38:49.1,172.16.1.66,172.16.1.4,17,136,54443,53,,,1
32,33,38:49.1,172.16.1.4,172.16.1.66,17,212,53,54443,,,4
33,34,38:49.1,172.16.1.66,172.16.1.4,17,252,57775,389,,,1
34,35,38:49.1,172.16.1.4,172.16.1.66,17,229,389,57775,,,4
35,36,38:49.1,172.16.1.66,172.16.1.4,6,66,49673,389,S,939602231,1
36,37,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49673,SA,3551982077,4
37,38,38:49.1,172.16.1.66,172.16.1.4,6,66,49674,389,S,3933338730,1
38,39,38:49.1,172.16.1.66,172.16.1.4,6,54,49673,389,A,939602232,1
39,40,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49674,SA,4237790085,4
40,41,38:49.1,172.16.1.66,172.16.1.4,6,54,49674,389,A,3933338731,1
41,42,38:49.1,172.16.1.66,172.16.1.4,6,398,49673,389,PA,939602232,1
42,43,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49673,A,3551982078,4
43,44,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49673,A,3551983538,4
44,45,38:49.1,172.16.1.4,172.16.1.66,6,69,389,49673,PA,3551984998,4
45,46,38:49.1,172.16.1.66,172.16.1.4,6,398,49674,389,PA,3933338731,1
46,47,38:49.1,172.16.1.66,172.16.1.4,6,54,49673,389,A,939602582,1
47,48,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49674,A,4237790086,4
48,49,38:49.1,172.16.1.4,172.16.1.66,6,1514,389,49674,A,4237791546,4
49,50,38:49.1,172.16.1.4,172.16.1.66,6,69,389,49674,PA,4237793006,4
50,51,38:49.1,172.16.1.66,172.16.1.4,6,54,49674,389,A,3933339081,1
51,52,38:49.1,172.16.1.66,172.16.1.4,6,66,49676,88,S,985437676,1
52,53,38:49.1,172.16.1.66,172.16.1.4,6,66,49675,88,S,3088800223,1
53,54,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49676,SA,693130163,4
54,55,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49675,SA,2604380246,4
55,56,38:49.1,172.16.1.66,172.16.1.4,6,54,49676,88,A,985437677,1
56,57,38:49.1,172.16.1.66,172.16.1.4,6,54,49675,88,A,3088800224,1
57,58,38:49.1,172.16.1.66,172.16.1.4,6,319,49676,88,PA,985437677,1
58,59,38:49.1,172.16.1.66,172.16.1.4,6,319,49675,88,PA,3088800224,1
59,60,38:49.1,172.16.1.4,172.16.1.66,6,323,88,49675,PA,2604380247,4
60,61,38:49.1,172.16.1.4,172.16.1.66,6,323,88,49676,PA,693130164,4
61,62,38:49.1,172.16.1.66,172.16.1.4,6,54,49676,88,FA,985437942,1
62,63,38:49.1,172.16.1.66,172.16.1.4,6,54,49675,88,FA,3088800489,1
63,64,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49676,A,693130433,4
64,65,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49675,A,2604380516,4
65,66,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49676,RA,693130433,4
66,67,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49675,RA,2604380516,4
67,68,38:49.1,172.16.1.66,172.16.1.4,6,66,49677,88,S,3002265079,1
68,69,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49677,SA,656275590,4
69,70,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,A,3002265080,1
70,71,38:49.1,172.16.1.66,172.16.1.4,6,398,49677,88,PA,3002265080,1
71,72,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49677,A,656275591,4
72,73,38:49.1,172.16.1.4,172.16.1.66,6,509,88,49677,PA,656277051,4
73,74,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,A,3002265424,1
74,75,38:49.1,172.16.1.66,172.16.1.4,6,54,49677,88,FA,3002265424,1
75,76,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49677,A,656277506,4
76,77,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49677,RA,656277506,4
77,78,38:49.1,172.16.1.66,172.16.1.4,6,66,49678,389,S,310929208,1
78,79,38:49.1,172.16.1.4,172.16.1.66,6,66,389,49678,SA,3406228048,4
79,80,38:49.1,172.16.1.66,172.16.1.4,6,54,49678,389,A,310929209,1
80,81,38:49.1,172.16.1.66,172.16.1.4,6,66,49679,88,S,467965390,1
81,82,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49679,SA,468749876,4
82,83,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,A,467965391,1
83,84,38:49.1,172.16.1.66,172.16.1.4,6,398,49679,88,PA,467965391,1
84,85,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49679,A,468749877,4
85,86,38:49.1,172.16.1.4,172.16.1.66,6,509,88,49679,PA,468751337,4
86,87,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,A,467965735,1
87,88,38:49.1,172.16.1.66,172.16.1.4,6,54,49679,88,FA,467965735,1
88,89,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49679,A,468751792,4
89,90,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49679,RA,468751792,4
90,91,38:49.1,172.16.1.66,172.16.1.4,6,66,49680,88,S,3368746771,1
91,92,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49680,SA,1072804754,4
92,93,38:49.1,172.16.1.66,172.16.1.4,6,66,49681,88,S,3709306508,1
93,94,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49681,SA,437672116,4
94,95,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,A,3368746772,1
95,96,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,A,3709306509,1
96,97,38:49.1,172.16.1.66,172.16.1.4,6,1514,49680,88,A,3368746772,1
97,98,38:49.1,172.16.1.66,172.16.1.4,6,560,49680,88,PA,3368748232,1
98,99,38:49.1,172.16.1.66,172.16.1.4,6,1514,49681,88,A,3709306509,1
99,100,38:49.1,172.16.1.66,172.16.1.4,6,560,49681,88,PA,3709307969,1
100,101,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,A,1072804755,4
101,102,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,A,437672117,4
102,103,38:49.1,172.16.1.66,172.16.1.4,6,66,49682,88,S,1920374035,1
103,104,38:49.1,172.16.1.4,172.16.1.66,6,66,88,49682,SA,3593887222,4
104,105,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,A,1920374036,1
105,106,38:49.1,172.16.1.66,172.16.1.4,6,1514,49682,88,A,1920374036,1
106,107,38:49.1,172.16.1.66,172.16.1.4,6,560,49682,88,PA,1920375496,1
107,108,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49681,A,437672117,4
108,109,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49681,PA,437673577,4
109,110,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,A,3593887223,4
110,111,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,A,3709308475,1
111,112,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49680,A,1072804755,4
112,113,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49680,PA,1072806215,4
113,114,38:49.1,172.16.1.66,172.16.1.4,6,54,49681,88,FA,3709308475,1
114,115,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,A,437674066,4
115,116,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,A,3368748738,1
116,117,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49681,RA,437674066,4
117,118,38:49.1,172.16.1.66,172.16.1.4,6,54,49680,88,FA,3368748738,1
118,119,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,A,1072806704,4
119,120,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49680,RA,1072806704,4
120,121,38:49.1,172.16.1.4,172.16.1.66,6,1514,88,49682,A,3593887223,4
121,122,38:49.1,172.16.1.4,172.16.1.66,6,543,88,49682,PA,3593888683,4
122,123,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,A,1920376002,1
123,124,38:49.1,172.16.1.66,172.16.1.4,6,54,49682,88,FA,1920376002,1
124,125,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,A,3593889172,4
125,126,38:49.1,172.16.1.4,172.16.1.66,6,54,88,49682,RA,3593889172,4
126,127,38:49.1,172.16.1.66,172.16.1.4,6,1514,49678,389,A,310929209,1
127,128,38:49.1,172.16.1.66,172.16.1.4,6,827,49678,389,PA,310930669,1
128,129,38:49.1,172.16.1.66,172.16.1.4,6,1514,49674,389,A,3933339081,1
129,130,38:49.1,172.16.1.66,172.16.1.4,6,827,49674,389,PA,3933340541,1
130,131,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49678,A,3406228049,4
131,132,38:49.1,172.16.1.66,172.16.1.4,6,1514,49673,389,A,939602582,1
132,133,38:49.1,172.16.1.66,172.16.1.4,6,827,49673,389,PA,939604042,1
133,134,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49674,A,4237793021,4
134,135,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49673,A,3551985013,4
135,136,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49674,PA,4237793021,4
136,137,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49678,PA,3406228049,4
137,138,38:49.1,172.16.1.4,172.16.1.66,6,257,389,49673,PA,3551985013,4
138,139,38:49.1,172.16.1.66,172.16.1.4,6,97,49678,389,PA,310931442,1
139,140,38:49.1,172.16.1.66,172.16.1.4,6,97,49673,389,PA,939604815,1
140,141,38:49.1,172.16.1.66,172.16.1.4,6,97,49674,389,PA,3933341314,1
141,142,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49673,RA,3551985223,4
142,143,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49678,RA,3406228259,4
143,144,38:49.1,172.16.1.4,172.16.1.66,6,54,389,49674,RA,4237793231,4
144,145,38:49.2,172.16.1.66,172.16.1.4,6,66,49683,135,S,2338049405,1
145,146,38:49.2,172.16.1.4,172.16.1.66,6,66,135,49683,SA,954985137,4
146,147,38:49.2,172.16.1.66,172.16.1.4,6,54,49683,135,A,2338049406,1
147,148,38:49.2,172.16.1.66,172.16.1.4,6,214,49683,135,PA,2338049406,1
148,149,38:49.2,172.16.1.4,172.16.1.66,6,162,135,49683,PA,954985138,4
149,150,38:49.2,172.16.1.66,172.16.1.4,6,222,49683,135,PA,2338049566,1
150,151,38:49.2,172.16.1.4,172.16.1.66,6,322,135,49683,PA,954985246,4
151,152,38:49.2,172.16.1.66,172.16.1.4,6,66,49684,49667,S,1691037832,1
152,153,38:49.2,172.16.1.4,172.16.1.66,6,66,49667,49684,SA,63397337,4
153,154,38:49.2,172.16.1.66,172.16.1.4,6,54,49684,49667,A,1691037833,1
154,155,38:49.2,172.16.1.66,172.16.1.4,6,66,49685,88,S,2278056795,1
155,156,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49685,SA,1286841800,4
156,157,38:49.2,172.16.1.66,172.16.1.4,6,54,49685,88,A,2278056796,1
157,158,38:49.2,172.16.1.66,172.16.1.4,6,319,49685,88,PA,2278056796,1
158,159,38:49.2,172.16.1.4,172.16.1.66,6,323,88,49685,PA,1286841801,4
159,160,38:49.2,172.16.1.66,172.16.1.4,6,54,49685,88,FA,2278057061,1
160,161,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49685,A,1286842070,4
161,162,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49685,RA,1286842070,4
162,163,38:49.2,172.16.1.66,172.16.1.4,6,66,49686,88,S,1489954444,1
163,164,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49686,SA,4252932984,4
164,165,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,A,1489954445,1
165,166,38:49.2,172.16.1.66,172.16.1.4,6,398,49686,88,PA,1489954445,1
166,167,38:49.2,172.16.1.4,172.16.1.66,6,1514,88,49686,A,4252932985,4
167,168,38:49.2,172.16.1.4,172.16.1.66,6,509,88,49686,PA,4252934445,4
168,169,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,A,1489954789,1
169,170,38:49.2,172.16.1.66,172.16.1.4,6,54,49686,88,FA,1489954789,1
170,171,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49686,A,4252934900,4
171,172,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49686,RA,4252934900,4
172,173,38:49.2,,,,42,,,,,4
173,174,38:49.2,,,,42,,,,,4
174,175,38:49.2,172.16.1.66,172.16.1.4,6,66,49687,88,S,879286666,1
175,176,38:49.2,172.16.1.4,172.16.1.66,6,66,88,49687,SA,2030212426,4
176,177,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,A,879286667,1
177,178,38:49.2,172.16.1.66,172.16.1.4,6,1514,49687,88,A,879286667,1
178,179,38:49.2,172.16.1.66,172.16.1.4,6,560,49687,88,PA,879288127,1
179,180,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,A,2030212427,4
180,181,38:49.2,172.16.1.4,172.16.1.66,6,1514,88,49687,A,2030212427,4
181,182,38:49.2,172.16.1.4,172.16.1.66,6,543,88,49687,PA,2030213887,4
182,183,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,A,879288633,1
183,184,38:49.2,172.16.1.66,172.16.1.4,6,54,49687,88,FA,879288633,1
184,185,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,A,2030214376,4
185,186,38:49.2,172.16.1.4,172.16.1.66,6,54,88,49687,RA,2030214376,4
186,187,38:49.2,172.16.1.66,172.16.1.4,6,1514,49684,49667,A,1691037833,1
187,188,38:49.2,172.16.1.66,172.16.1.4,6,948,49684,49667,PA,1691039293,1
188,189,38:49.2,172.16.1.4,172.16.1.66,6,54,49667,49684,A,63397338,4
189,190,38:49.2,172.16.1.4,172.16.1.66,6,338,49667,49684,PA,63397338,4
190,191,38:49.2,172.16.1.66,172.16.1.4,6,274,49684,49667,PA,1691040187,1
191,192,38:49.2,172.16.1.4,172.16.1.66,6,159,49667,49684,PA,63397622,4
192,193,38:49.2,172.16.1.66,172.16.1.4,6,322,49684,49667,PA,1691040407,1
193,194,38:49.2,172.16.1.4,172.16.1.66,6,258,49667,49684,PA,63397727,4
194,195,38:49.2,172.16.1.66,172.16.1.4,6,338,49684,49667,PA,1691040675,1
195,196,38:49.2,172.16.1.4,172.16.1.66,6,482,49667,49684,PA,63397931,4
196,197,38:49.2,172.16.1.66,172.16.1.4,6,338,49684,49667,PA,1691040959,1
197,198,38:49.2,172.16.1.4,172.16.1.66,6,434,49667,49684,PA,63398359,4
198,199,38:49.2,172.16.1.66,172.16.1.4,6,194,49684,49667,PA,1691041243,1
199,200,38:49.2,172.16.1.4,172.16.1.66,6,194,49667,49684,PA,63398739,4
200,201,38:49.3,172.16.1.66,172.16.1.4,17,100,49844,53,,,1
201,202,38:49.3,172.16.1.4,172.16.1.66,17,116,53,49844,,,4
202,203,38:49.3,172.16.1.66,172.16.1.4,6,66,49688,389,S,2051778300,1
203,204,38:49.3,172.16.1.4,172.16.1.66,6,66,389,49688,SA,2020611441,4
204,205,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051778301,1
205,206,38:49.3,172.16.1.66,172.16.1.4,6,398,49688,389,PA,2051778301,1
206,207,38:49.3,172.16.1.4,172.16.1.66,6,1514,389,49688,A,2020611442,4
207,208,38:49.3,172.16.1.4,172.16.1.66,6,1514,389,49688,A,2020612902,4
208,209,38:49.3,172.16.1.4,172.16.1.66,6,69,389,49688,PA,2020614362,4
209,210,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051778651,1
210,211,38:49.3,172.16.1.66,172.16.1.4,6,1514,49688,389,A,2051778651,1
211,212,38:49.3,172.16.1.66,172.16.1.4,6,815,49688,389,PA,2051780111,1
212,213,38:49.3,172.16.1.4,172.16.1.66,6,54,389,49688,A,2020614377,4
213,214,38:49.3,172.16.1.4,172.16.1.66,6,257,389,49688,PA,2020614377,4
214,215,38:49.3,172.16.1.66,172.16.1.4,6,54,49683,135,A,2338049734,1
215,216,38:49.3,172.16.1.66,172.16.1.4,6,66,49689,88,S,2310311984,1
216,217,38:49.3,172.16.1.4,172.16.1.66,6,66,88,49689,SA,327729931,4
217,218,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,A,2310311985,1
218,219,38:49.3,172.16.1.66,172.16.1.4,6,1514,49689,88,A,2310311985,1
219,220,38:49.3,172.16.1.66,172.16.1.4,6,504,49689,88,PA,2310313445,1
220,221,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,A,327729932,4
221,222,38:49.3,172.16.1.4,172.16.1.66,6,1514,88,49689,A,327729932,4
222,223,38:49.3,172.16.1.4,172.16.1.66,6,447,88,49689,PA,327731392,4
223,224,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,A,2310313895,1
224,225,38:49.3,172.16.1.66,172.16.1.4,6,54,49689,88,FA,2310313895,1
225,226,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,A,327731785,4
226,227,38:49.3,172.16.1.4,172.16.1.66,6,54,88,49689,RA,327731785,4
227,228,38:49.3,172.16.1.66,172.16.1.4,6,237,49688,389,PA,2051780872,1
228,229,38:49.3,172.16.1.4,172.16.1.66,6,608,389,49688,PA,2020614587,4
229,230,38:49.3,172.16.1.66,172.16.1.4,17,126,49844,53,,,1
230,231,38:49.3,172.16.1.4,172.16.1.66,17,202,53,49844,,,4
231,232,38:49.3,172.16.1.66,172.16.1.4,17,251,49846,389,,,1
232,233,38:49.3,172.16.1.4,172.16.1.66,17,229,389,49846,,,4
233,234,38:49.3,172.16.1.66,172.16.1.4,6,54,49684,49667,A,1691041383,1
234,235,38:49.3,172.16.1.66,172.16.1.4,17,92,49844,53,,,1
235,236,38:49.3,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051781055,1
236,237,38:49.3,,,,42,,,,,4
237,238,38:49.3,172.16.1.66,224.0.0.22,2,62,,,,,1
238,239,38:49.4,172.16.1.4,172.16.1.66,17,212,53,49844,,,4
239,240,38:49.4,172.16.1.66,20.189.173.16,6,66,49690,443,S,437976431,6
240,241,38:49.4,172.16.1.66,172.16.1.4,6,66,49691,389,S,4135970868,1
241,242,38:49.4,172.16.1.4,172.16.1.66,6,66,389,49691,SA,3583702938,4
242,243,38:49.4,172.16.1.66,172.16.1.4,6,54,49691,389,A,4135970869,1
243,244,38:49.4,172.16.1.66,172.16.1.4,6,1514,49691,389,A,4135970869,1
244,245,38:49.4,172.16.1.66,172.16.1.4,6,815,49691,389,PA,4135972329,1
245,246,38:49.4,172.16.1.4,172.16.1.66,6,54,389,49691,A,3583702939,4
246,247,38:49.4,172.16.1.4,172.16.1.66,6,257,389,49691,PA,3583702939,4
247,248,38:49.4,172.16.1.66,172.16.1.4,6,230,49691,389,PA,4135973090,1
248,249,38:49.4,172.16.1.4,172.16.1.66,6,220,389,49691,PA,3583703149,4
249,250,38:49.4,172.16.1.66,172.16.1.4,6,240,49691,389,PA,4135973266,1
250,251,38:49.4,172.16.1.4,172.16.1.66,6,214,389,49691,PA,3583703315,4
251,252,38:49.4,172.16.1.66,172.16.1.4,6,665,49688,389,PA,2051781055,1
252,253,38:49.4,172.16.1.4,172.16.1.66,6,1322,389,49688,PA,2020615141,4
253,254,38:49.4,172.16.1.66,172.16.1.4,17,84,49844,53,,,1
254,255,38:49.4,172.16.1.4,172.16.1.66,17,100,53,49844,,,4
255,256,38:49.4,172.16.1.66,172.16.1.4,6,66,49692,445,S,2515297880,1
256,257,38:49.4,172.16.1.4,172.16.1.66,6,66,445,49692,SA,4215765361,4
257,258,38:49.4,172.16.1.66,172.16.1.4,6,54,49692,445,A,2515297881,1
258,259,38:49.4,172.16.1.66,172.16.1.4,6,213,49692,445,PA,2515297881,1
259,260,38:49.4,172.16.1.4,172.16.1.66,6,306,445,49692,PA,4215765362,4
260,261,38:49.4,172.16.1.66,172.16.1.4,6,358,49692,445,PA,2515298040,1
261,262,38:49.4,172.16.1.4,172.16.1.66,6,430,445,49692,PA,4215765614,4
262,263,38:49.4,172.16.1.66,172.16.1.4,6,66,49693,88,S,1124365142,1
263,264,38:49.4,172.16.1.4,172.16.1.66,6,66,88,49693,SA,861910086,4
264,265,38:49.4,172.16.1.66,172.16.1.4,6,54,49693,88,A,1124365143,1
265,266,38:49.4,172.16.1.66,172.16.1.4,6,1514,49693,88,A,1124365143,1
266,267,38:49.4,172.16.1.66,172.16.1.4,6,518,49693,88,PA,1124366603,1
267,268,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,A,861910087,4
268,269,38:49.4,172.16.1.4,172.16.1.66,6,176,88,49693,PA,861910087,4
269,270,38:49.4,172.16.1.66,172.16.1.4,6,54,49693,88,FA,1124367067,1
270,271,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,A,861910209,4
271,272,38:49.4,172.16.1.4,172.16.1.66,6,54,88,49693,RA,861910209,4
272,273,38:49.4,172.16.1.66,172.16.1.4,6,220,49692,445,PA,2515298344,1
273,274,38:49.4,172.16.1.4,172.16.1.66,6,471,445,49692,PA,4215765990,4
274,275,38:49.4,172.16.1.66,172.16.1.4,6,817,49692,445,PA,2515298510,1
275,276,38:49.4,172.16.1.4,172.16.1.66,6,159,445,49692,PA,4215766407,4
276,277,38:49.4,172.16.1.66,172.16.1.4,6,192,49692,445,PA,2515299273,1
277,278,38:49.4,172.16.1.4,172.16.1.66,6,138,445,49692,PA,4215766512,4
278,279,38:49.4,172.16.1.66,172.16.1.4,6,178,49692,445,PA,2515299411,1
279,280,38:49.4,172.16.1.4,172.16.1.66,6,322,445,49692,PA,4215766596,4
280,281,38:49.4,172.16.1.66,172.16.1.4,17,136,49844,53,,,1
281,282,38:49.4,172.16.1.4,172.16.1.66,17,212,53,49844,,,4
282,283,38:49.4,172.16.1.66,172.16.1.4,17,251,49847,389,,,1
283,284,38:49.4,172.16.1.4,172.16.1.66,17,229,389,49847,,,4
284,285,38:49.4,172.16.1.66,172.16.1.4,6,54,49691,389,A,4135973452,1
285,286,38:49.5,20.189.173.16,172.16.1.66,6,58,443,49690,SA,2179056000,3
286,287,38:49.5,172.16.1.66,20.189.173.16,6,54,49690,443,A,437976432,6
287,288,38:49.5,172.16.1.66,172.16.1.4,6,54,49688,389,A,2051781666,1
288,289,38:49.5,172.16.1.66,20.189.173.16,6,342,49690,443,PA,437976432,6
289,290,38:49.5,20.189.173.16,172.16.1.66,6,54,443,49690,A,2179056001,3
290,291,38:49.5,172.16.1.66,172.16.1.4,6,54,49692,445,A,2515299535,1
291,292,38:49.5,172.16.1.66,172.16.1.4,17,83,50203,53,,,1
292,293,38:49.5,172.16.1.66,172.16.1.4,17,89,57308,53,,,1
293,294,38:49.5,172.16.1.4,172.16.1.66,17,176,53,57308,,,4
294,295,38:49.6,172.16.1.66,172.16.1.4,6,66,49694,445,S,3591877711,1
295,296,38:49.6,172.16.1.4,172.16.1.66,6,66,445,49694,SA,2715322531,4
296,297,38:49.6,172.16.1.66,172.16.1.4,6,54,49694,445,A,3591877712,1
297,298,38:49.6,172.16.1.66,172.16.1.4,6,213,49694,445,PA,3591877712,1
298,299,38:49.6,172.16.1.4,172.16.1.66,6,306,445,49694,PA,2715322532,4
299,300,38:49.6,172.16.1.66,172.16.1.4,6,390,49694,445,PA,3591877871,1
300,301,38:49.6,172.16.1.4,172.16.1.66,6,430,445,49694,PA,2715322784,4
301,302,38:49.6,172.16.1.66,172.16.1.4,6,66,49695,88,S,427303194,1
302,303,38:49.6,172.16.1.4,172.16.1.66,6,66,88,49695,SA,3142062502,4
303,304,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,A,427303195,1
304,305,38:49.6,172.16.1.66,172.16.1.4,6,1514,49695,88,A,427303195,1
305,306,38:49.6,172.16.1.66,172.16.1.4,6,560,49695,88,PA,427304655,1
306,307,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,A,3142062503,4
307,308,38:49.6,172.16.1.4,172.16.1.66,6,1514,88,49695,A,3142062503,4
308,309,38:49.6,172.16.1.4,172.16.1.66,6,543,88,49695,PA,3142063963,4
309,310,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,A,427305161,1
310,311,38:49.6,172.16.1.66,172.16.1.4,6,54,49695,88,FA,427305161,1
311,312,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,A,3142064452,4
312,313,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49695,RA,3142064452,4
313,314,38:49.6,172.16.1.66,172.16.1.4,6,66,49696,88,S,979870506,1
314,315,38:49.6,172.16.1.4,172.16.1.66,6,66,88,49696,SA,526697980,4
315,316,38:49.6,172.16.1.66,172.16.1.4,6,54,49696,88,A,979870507,1
316,317,38:49.6,172.16.1.66,172.16.1.4,6,1514,49696,88,A,979870507,1
317,318,38:49.6,172.16.1.66,172.16.1.4,6,327,49696,88,PA,979871967,1
318,319,38:49.6,172.16.1.4,172.16.1.66,6,54,88,49696,A,526697981,4
319,320,38:49.6,172.16.1.4,172.16.1.66,6,1514,88,49696,A,526697981,4
320,321,38:49.6,172.16.1.4,172.16.1.66,6,358,88,49696,PA,526699441,4
321,322,38:49.6,172.16.1.66,172.16.1.4,6,54,49696,88,A,979872240,1
