Packet_Number,Timestamp,Source_IP,Destination_IP,Protocol,Length,Source_Port,Destination_Port,Flags,Sequence_Number
205,2024-08-15 00:09:46.123758,10.8.15.4,10.8.15.133,6,66,88,49685,SA,4139632383
206,2024-08-15 00:09:46.124073,10.8.15.133,10.8.15.4,6,322,49683,58963,PA,1122437226
207,2024-08-15 00:09:46.124112,10.8.15.133,10.8.15.4,6,54,49684,88,FA,3193974198
208,2024-08-15 00:09:46.124288,10.8.15.4,10.8.15.133,6,54,88,49684,A,1243046617
209,2024-08-15 00:09:46.124451,10.8.15.4,10.8.15.133,6,54,88,49684,RA,1243046617
210,2024-08-15 00:09:46.124697,10.8.15.133,10.8.15.4,6,66,49686,88,S,4098407872
211,2024-08-15 00:09:46.124850,10.8.15.4,10.8.15.133,6,66,88,49686,SA,4433405
212,2024-08-15 00:09:46.124976,10.8.15.4,10.8.15.133,6,98,58963,49683,PA,3397610199
213,2024-08-15 00:09:46.132718,10.8.15.133,10.8.15.4,6,66,49687,88,S,1348045827
214,2024-08-15 00:09:46.132838,10.8.15.133,10.8.15.4,6,54,49685,88,A,2883582837
215,2024-08-15 00:09:46.132844,10.8.15.4,10.8.15.133,6,66,88,49687,SA,1085013491
216,2024-08-15 00:09:46.132881,10.8.15.133,10.8.15.4,6,1514,49686,88,A,4098407873
217,2024-08-15 00:09:46.132883,10.8.15.133,10.8.15.4,6,474,49686,88,PA,4098409333
218,2024-08-15 00:09:46.133028,10.8.15.133,10.8.15.4,6,1514,49685,88,A,2883582837
219,2024-08-15 00:09:46.133029,10.8.15.4,10.8.15.133,6,54,88,49686,A,4433406
220,2024-08-15 00:09:46.133031,10.8.15.133,10.8.15.4,6,494,49685,88,PA,2883584297
221,2024-08-15 00:09:46.133062,10.8.15.133,10.8.15.4,6,210,49683,58963,PA,1122437494
222,2024-08-15 00:09:46.133220,10.8.15.4,10.8.15.133,6,54,88,49685,A,4139632384
223,2024-08-15 00:09:46.133224,10.8.15.133,10.8.15.4,6,54,49687,88,A,1348045828
224,2024-08-15 00:09:46.133379,10.8.15.133,10.8.15.4,6,386,49687,88,PA,1348045828
225,2024-08-15 00:09:46.134058,10.8.15.4,10.8.15.133,6,1514,88,49686,A,4433406
226,2024-08-15 00:09:46.134061,10.8.15.4,10.8.15.133,6,447,88,49686,PA,4434866
227,2024-08-15 00:09:46.134074,10.8.15.4,10.8.15.133,6,1514,88,49685,A,4139632384
228,2024-08-15 00:09:46.134077,10.8.15.4,10.8.15.133,6,471,88,49685,PA,4139633844
229,2024-08-15 00:09:46.134244,10.8.15.4,10.8.15.133,6,130,58963,49683,PA,3397610243
230,2024-08-15 00:09:46.134836,10.8.15.4,10.8.15.133,6,1514,88,49687,A,1085013492
231,2024-08-15 00:09:46.134839,10.8.15.4,10.8.15.133,6,437,88,49687,PA,1085014952
232,2024-08-15 00:09:46.136884,10.8.15.133,10.8.15.4,6,54,49685,88,A,2883584737
233,2024-08-15 00:09:46.136891,10.8.15.133,10.8.15.4,6,54,49686,88,FA,4098409753
234,2024-08-15 00:09:46.136899,10.8.15.133,10.8.15.4,6,54,49687,88,A,1348046160
235,2024-08-15 00:09:46.137039,10.8.15.4,10.8.15.133,6,54,88,49686,A,4435259
236,2024-08-15 00:09:46.137104,10.8.15.4,10.8.15.133,6,54,88,49686,RA,4435259
237,2024-08-15 00:09:46.137108,10.8.15.133,10.8.15.4,6,54,49685,88,FA,2883584737
238,2024-08-15 00:09:46.137233,10.8.15.4,10.8.15.133,6,54,88,49685,A,4139634261
239,2024-08-15 00:09:46.137268,10.8.15.4,10.8.15.133,6,54,88,49685,RA,4139634261
240,2024-08-15 00:09:46.138840,10.8.15.133,10.8.15.4,6,66,49688,88,S,3383108899
241,2024-08-15 00:09:46.138991,10.8.15.133,10.8.15.4,6,54,49687,88,FA,1348046160
242,2024-08-15 00:09:46.139053,10.8.15.4,10.8.15.133,6,66,88,49688,SA,211595070
243,2024-08-15 00:09:46.139114,10.8.15.4,10.8.15.133,6,54,88,49687,A,1085015335
244,2024-08-15 00:09:46.139207,10.8.15.4,10.8.15.133,6,54,88,49687,RA,1085015335
245,2024-08-15 00:09:46.139589,10.8.15.133,10.8.15.4,6,350,49683,58963,PA,1122437650
246,2024-08-15 00:09:46.139845,10.8.15.4,10.8.15.133,6,174,58963,49683,PA,3397610319
247,2024-08-15 00:09:46.146245,10.8.15.133,10.8.15.4,6,66,49689,88,S,1275808113
248,2024-08-15 00:09:46.146446,10.8.15.4,10.8.15.133,6,66,88,49689,SA,252390141
249,2024-08-15 00:09:46.152446,10.8.15.133,10.8.15.4,6,54,49677,135,A,3789552296
250,2024-08-15 00:09:46.152462,10.8.15.133,10.8.15.4,6,54,49678,135,A,3831843123
251,2024-08-15 00:09:46.152534,10.8.15.133,10.8.15.4,6,54,49688,88,A,3383108900
252,2024-08-15 00:09:46.152553,10.8.15.133,10.8.15.4,6,54,49689,88,A,1275808114
253,2024-08-15 00:09:46.152742,10.8.15.133,10.8.15.4,6,1514,49688,88,A,3383108900
254,2024-08-15 00:09:46.152745,10.8.15.133,10.8.15.4,6,267,49688,88,PA,3383110360
255,2024-08-15 00:09:46.152856,10.8.15.133,10.8.15.4,6,1514,49689,88,A,1275808114
256,2024-08-15 00:09:46.152857,10.8.15.133,10.8.15.4,6,494,49689,88,PA,1275809574
257,2024-08-15 00:09:46.152903,10.8.15.4,10.8.15.133,6,54,88,49688,A,211595071
258,2024-08-15 00:09:46.153016,10.8.15.133,10.8.15.4,6,350,49683,58963,PA,1122437946
259,2024-08-15 00:09:46.153124,10.8.15.4,10.8.15.133,6,54,88,49689,A,252390142
260,2024-08-15 00:09:46.153794,10.8.15.4,10.8.15.133,6,1514,88,49688,A,211595071
261,2024-08-15 00:09:46.153796,10.8.15.4,10.8.15.133,6,296,88,49688,PA,211596531
262,2024-08-15 00:09:46.154000,10.8.15.4,10.8.15.133,6,174,58963,49683,PA,3397610439
263,2024-08-15 00:09:46.154216,10.8.15.4,10.8.15.133,6,1514,88,49689,A,252390142
264,2024-08-15 00:09:46.154217,10.8.15.4,10.8.15.133,6,471,88,49689,PA,252391602
265,2024-08-15 00:09:46.154234,10.8.15.133,10.8.15.4,6,54,49688,88,A,3383110573
266,2024-08-15 00:09:46.154523,10.8.15.133,10.8.15.4,6,54,49688,88,FA,3383110573
267,2024-08-15 00:09:46.154640,10.8.15.4,10.8.15.133,6,54,88,49688,A,211596773
268,2024-08-15 00:09:46.154763,10.8.15.4,10.8.15.133,6,54,88,49688,RA,211596773
269,2024-08-15 00:09:46.155278,10.8.15.133,10.8.15.4,6,54,49689,88,A,1275810014
270,2024-08-15 00:09:46.155563,10.8.15.133,10.8.15.4,6,54,49689,88,FA,1275810014
271,2024-08-15 00:09:46.155692,10.8.15.4,10.8.15.133,6,54,88,49689,A,252392019
272,2024-08-15 00:09:46.155737,10.8.15.4,10.8.15.133,6,54,88,49689,RA,252392019
273,2024-08-15 00:09:46.156170,10.8.15.133,10.8.15.4,6,1514,49682,49669,A,3537816871
274,2024-08-15 00:09:46.156172,10.8.15.133,10.8.15.4,6,858,49682,49669,PA,3537818331
275,2024-08-15 00:09:46.156372,10.8.15.4,10.8.15.133,6,54,49669,49682,A,44583497
276,2024-08-15 00:09:46.156934,10.8.15.4,10.8.15.133,6,338,49669,49682,PA,44583497
277,2024-08-15 00:09:46.159739,10.8.15.133,10.8.15.4,6,1038,49683,58963,PA,1122438242
278,2024-08-15 00:09:46.160260,10.8.15.4,10.8.15.133,6,1102,58963,49683,PA,3397610559
279,2024-08-15 00:09:46.160578,10.8.15.133,10.8.15.4,6,274,49682,49669,PA,3537819135
280,2024-08-15 00:09:46.160838,10.8.15.4,10.8.15.133,6,159,49669,49682,PA,44583781
281,2024-08-15 00:09:46.162496,10.8.15.133,10.8.15.4,6,322,49682,49669,PA,3537819355
282,2024-08-15 00:09:46.162688,10.8.15.4,10.8.15.133,6,258,49669,49682,PA,44583886
283,2024-08-15 00:09:46.163089,10.8.15.133,10.8.15.4,6,66,49690,389,S,3647105370
284,2024-08-15 00:09:46.163200,10.8.15.4,10.8.15.133,6,66,389,49690,SA,1980215154
285,2024-08-15 00:09:46.163355,10.8.15.133,10.8.15.4,6,338,49682,49669,PA,3537819623
286,2024-08-15 00:09:46.163534,10.8.15.133,10.8.15.4,6,54,49690,389,A,3647105371
